CAV Reciever,CAV Sender,Image Frame Index,Trust Score
cav1,cav2,0,0.5173559872414973
cav1,cav2,1,0.58
cav1,cav2,2,0.5072259738165945
cav1,cav2,3,0.61
cav1,cav2,4,0.7749712306538803
cav1,cav2,5,0.6
cav1,cav2,6,0.8
cav1,cav2,7,0.8
cav1,cav2,8,0.7845159182610055
cav1,cav2,9,0.85
cav1,cav2,10,0.6
cav1,cav2,11,0.6
cav1,cav2,12,0.6976432753232104
cav1,cav2,13,0.6
cav1,cav2,14,0.6
cav1,cav2,15,0.6
cav1,cav2,16,0.6
cav1,cav2,17,0.6
cav1,cav3,0,0.45855149146559077
cav1,cav3,1,0.4
cav1,cav3,2,0.34900996568382997
cav1,cav3,3,0.6
cav1,cav3,4,0.6
cav1,cav3,5,0.6
cav1,cav3,6,0.62
cav1,cav3,7,0.6
cav1,cav3,8,0.8
cav1,cav3,9,0.683986189392698
cav1,cav3,10,0.6209923653498016
cav1,cav3,11,0.6
cav1,cav3,12,0.6
cav1,cav3,13,0.6
cav1,cav3,14,0.6
cav1,cav3,15,0.6
cav1,cav3,16,0.6
cav1,cav3,17,0.6
cav1,cav4,0,0.0
cav1,cav4,1,0.0
cav1,cav4,2,0.0
cav1,cav4,3,0.0
cav1,cav4,4,0.0
cav1,cav4,5,0.0
cav1,cav4,6,0.0
cav1,cav4,7,0.0
cav1,cav4,8,0.0
cav1,cav4,9,0.0
cav1,cav4,10,0.0
cav1,cav4,11,0.34
cav1,cav4,12,0.5
cav1,cav4,13,0.5
cav1,cav4,14,0.55
cav1,cav4,15,0.6
cav1,cav4,16,0.6
cav1,cav4,17,0.6
cav2,cav1,0,0.5291884279163716
cav2,cav1,1,0.6
cav2,cav1,2,0.6
cav2,cav1,3,0.36403036315154186
cav2,cav1,4,0.3476833231958659
cav2,cav1,5,0.3342558243152068
cav2,cav1,6,0.3530066288281573
cav2,cav1,7,0.6924013015745322
cav2,cav1,8,0.4755682717108223
cav2,cav1,9,0.4424270502724476
cav2,cav1,10,0.3338108704428002
cav2,cav1,11,0.36886475935320717
cav2,cav1,12,0.44934990450659185
cav2,cav1,13,0.8879227760795457
cav2,cav1,14,0.4536545855966095
cav2,cav1,15,0.43899619892377284
cav2,cav1,16,0.801147297413347
cav2,cav1,17,0.47809873971707767
cav2,cav3,0,0.41173530416231474
cav2,cav3,1,0.4270122880297401
cav2,cav3,2,0.4121936708197597
cav2,cav3,3,0.4739104667610179
cav2,cav3,4,0.43621795622570586
cav2,cav3,5,0.7201544908690465
cav2,cav3,6,0.36285642686825076
cav2,cav3,7,0.4058424399470387
cav2,cav3,8,0.350552253882195
cav2,cav3,9,0.6
cav2,cav3,10,0.35723666904173956
cav2,cav3,11,0.6
cav2,cav3,12,0.4586492276324051
cav2,cav3,13,0.6
cav2,cav3,14,0.6
cav2,cav3,15,0.5823306463514656
