Label_ID,Label
/m/010dmf,Isle of man tt
/m/010jjr,Amusement park
/m/010l12,Roller coaster
/m/01_12b,Granny smith
/m/0117z,Air show
/m/0118ms9c,Reflex camera
/m/011_dp,Membranophone
/m/011_f4,String instrument
/m/011_g9,Wind instrument
/m/011jbn,Gourd
/m/011jxn,Lasagne
/m/011k07,Tortoise
/m/011l78,Team
/m/011_lb,Vespa
/m/011lx,Acrylic paint
/m/011s0,Advertising
/m/011xdj,Meringue
/m/011y23,Stained glass
/m/011yvr,Plantation
/m/012015,Stone tool
/m/012047,Narcissus
/m/01205h,Ferret
/m/012074,Magpie
/m/0120dh,Sea turtle
/m/0121d8,Historic house
/m/0121tl,Electronic instrument
/m/01224j,Hearth
/m/01226z,Football
/m/0123gb,Egret
/m/01240d,Tuber
/m/0125ny,Lake district
/m/0126gc,Reindeer
/m/0127n5,Mussel
/m/01280g,Wildlife
/m/01295w,Galliformes
/m/012c4n,Cucurbita
/m/012c9l,Domestic short-haired cat
/m/012cc2,Russian blue
/m/012ckm,Bonfire
/m/012d_c,Blacksmith
/m/012f08,Motor vehicle
/m/012gxj,Gazelle
/m/012h24,Comics
/m/012hvb,Corset
/m/012k6q,Ocicat
/m/012lnv,Himalayan
/m/012m47,Chinese new year
/m/012mj,Alcoholic beverage
/m/012mq4,Sports car
/m/012mqx,Iceberg
/m/012n4x,Firefighter
/m/012n7d,Ambulance
/m/012n91,Emergency service
/m/012ndj,Fire apparatus
/m/012qdp,Military officer
/m/012q_x,Coast guard
/m/012qyb,Barber
/m/012sbd,Tournament
/m/012shk,Seabird
/m/012t_z,Businessperson
/m/012v4j,Hiking
/m/012v8q,Bog
/m/012vt9,Flautist
/m/012vv0,Violist
/m/012vzz,Plant pathology
/m/012w5l,Ladder
/m/012ww9,Archaeological site
/m/012x5p,Bento
/m/012x6l,Laundry
/m/012x_7,Osechi
/m/012xb8,Nabemono
/m/012xff,Toothbrush
/m/012xhn,Slam dunk
/m/012xzr,Tempura
/m/012y1_,Soba
/m/012ysf,Syringe
/m/01305f,Condor
/m/0130jx,Sink
/m/013_1c,Statue
/m/0134l,Autumn
/m/013__5,Leek
/m/01350r,Performance art
/m/0137k8,Boeing 737
/m/0138tl,Toy
/m/013992,Lathe
/m/01399x,Pipe organ
/m/013btk,Lark
/m/013c1m,Mcdonnell douglas dc-10
/m/01_3j6,Pumpkin pie
/m/013m1,Air force
/m/013q4y,Cheeseburger
/m/013s93,T-shirt
/m/013sbk,Aquatic plant
/m/013sd_,Lingonberry
/m/013sr7,Boeing 757
/m/013vs,Afterglow
/m/013w5c,Boeing 717
/m/013x4m,Radiology
/m/013xbf,Electrical connector
/m/013xlm,Tractor
/m/013y0j,Organ
/m/013y1f,Organ
/m/0140x,Mcdonnell douglas av-8b harrier ii
/m/01423,Fairchild republic a-10 thunderbolt ii
/m/0142t_,Moat
/m/0142vg,Sled
/m/0142y7,Spandex
/m/01443y,Headgear
/m/01445t,Athlete
/m/0145sj,Procyonidae
/m/01474s,Vortex
/m/01492b,Opera house
/m/0149r,Aquarium
/m/014cnc,Student
/m/014dsx,Travel
/m/014f__,Supercar
/m/014ht3,Cosplay
/m/014hvd,Long island iced tea
/m/014j1m,Apple
/m/014jg3,Training
/m/014jq0,Analog synthesizer
/m/014jz8,Udon
/m/014kk_,Crescent
/m/014mnd,Circus
/m/014mpm,Intersection
/m/014sv8,Eye
/m/014tl,Ammunition
/m/014trl,Cosmetics
/m/014v7p,Zebra crossing
/m/014xcs,Pedestrian crossing
/m/014y4n,Paddle
/m/014yck,Aircraft engine
/m/014_z9,Apple pie
/m/014zdl,Explosion
/m/01504,Brass
/m/0150fh,Ultralight aviation
/m/01514,Ballroom dance
/m/01515d,Flight
/m/0152hh,Snowman
/m/0153bq,Mascot
/m/01_545,Jambalaya
/m/01553z,Ratite
/m/015_77,Walnut
/m/0157l1,Cable-stayed bridge
/m/0158_5,Cockpit
/m/0158vt,Tunnel
/m/01599,Beer
/m/0159gt,Brewery
/m/015b1y,Mai tai
/m/015bv3,Document
/m/015c4z,Sitting
/m/015_d,Bomber
/m/015fyw,Poppy
/m/01_5g,Chopsticks
/m/01_5hj,Travel trailer
/m/015h_t,Beard
/m/015k7,Gautama buddha
/m/015kp7,Stratovolcano
/m/015kr,Bridge
/m/015lbc,Crow-like bird
/m/015ll,Board game
/m/015l_t,Dust
/m/015lz1,Singing
/m/015m2,Bead
/m/015mm6,Tights
/m/015p6,Bird
/m/01_5q8,Great grey owl
/m/015qcd,Payphone
/m/015qff,Traffic light
/m/015r61,Modern art
/m/015rkd,Chicory
/m/015rvg,Wedding ring
/m/015s2f,Water resources
/m/015st5,Oil rig
